Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	3:Protein inferred from homology	59.12	10.000	0.9990	9	0	7	20	0	14	473332608	0	473332608	12M(15.9949), 2K(229.1629), 3C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			11.271.611.875	10.995.190.845	15.179.154.980	12.563.950.208	15.372.119.985	10.941.085.093	14.266.934.194	13.315.433.806	13.086.182.173	14.474.084.907	19.591.441.382
sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H_HUMAN	PPIAL4H	164	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A-like 4H	3:Protein inferred from homology	33.54	10.000	0.9989	4	1	1	58	7	7	10257895264	53380908	10257895264	24C(57.0214), 27K(229.1629), N-term(229.1692)			54.548.137.408	48.411.382.671	57.235.877.046	51.802.515.120	58.814.849.446	45.578.690.728	57.570.440.781	51.278.453.115	50.111.304.976	58.521.392.322	76.934.831.284
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5:Protein uncertain	52.99	10.000	0.9990	12	0	12	46	0	46	923751808	0	923751808	10K(229.1629), 12C(57.0214), 13C(57.0214), 14K(229.1629), 15K(229.1629), 15M(15.9949), 18K(229.1629), 21K(229.1629), 22K(229.1629), 25K(229.1629), 26K(229.1629), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8M(15.9949), 9C(57.0214), N-term(229.1692)		sp|P0DPI2|GAL3A_HUMAN	19.754.216.829	23.833.209.202	26.726.411.831	24.407.124.717	26.008.488.169	14.805.745.197	28.240.821.151	24.085.597.148	29.180.155.906	27.983.896.309	34.403.733.052
sp|A0A1B0GUS4|UB2L5_HUMAN	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	154	Homo sapiens	Ubiquitin-conjugating enzyme E2 L5	2:Experimental evidence at transcript level	29.22	10.000	0.9990	4	1	1	13	3	3	2372262880	6280374	2372262880	12K(229.1629), N-term(229.1692)			35.325.494.478	28.987.210.952	37.489.153.955	26.660.747.593	42.034.593.621	24.204.848.184	29.999.060.688	24.044.774.697	25.037.282.703	37.381.335.083	53.290.939.434
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	275	Homo sapiens	Heterogeneous nuclear ribonucleoprotein A1-like 3	4:Protein predicted	83.27	10.000	0.9990	27	2	2	253	21	21	4652366080	133954921	4652366080	13K(229.1629), 44M(15.9949), 45K(229.1629), N-term(229.1692)			115.876.730.812	93.140.554.485	135.044.490.906	103.200.303.174	119.294.826.882	113.359.122.823	113.388.637.798	117.008.452.306	113.348.517.247	118.515.602.074	167.693.982.865
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	Homo sapiens	Malignant T-cell-amplified sequence 2	3:Protein inferred from homology	46.96	10.000	0.9990	7	2	2	20	3	3	428526564	33982676	428526564	10K(229.1629), 4C(57.0214), 6C(57.0214), N-term(229.1692)			11.229.269.131	11.142.199.873	13.776.702.207	12.438.236.143	13.278.840.947	10.797.082.090	12.703.652.793	11.484.256.074	11.711.647.690	14.431.098.418	16.216.649.443
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	RNA-binding protein 47	1:Experimental evidence at protein level	6.58	10.000	0.9990	3	3	3	3	3	3	27287844	27287844	27287844	11K(229.1629), 1K(229.1629), 8K(229.1629), N-term(229.1692)			140.336.624	251.282.808	292.928.115	173.909.224	283.871.558	117.329.980	211.738.804	137.193.066	210.713.157	226.423.501	121.676.279
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	57.51	10.000	0.9990	44	44	44	117	117	117	520377168	520377168	520377168	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 14M(15.9949), 15K(229.1629), 16K(229.1629), 17C(57.0214), 17K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 22K(229.1629), 24K(229.1629), 27K(229.1629), 28C(57.0214), 29K(229.1629), 2C(57.0214), 2M(15.9949), 31K(229.1629), 3C(57.0214), 5C(57.0214), 5K(229.1629), 5M(15.9949), 6C(57.0214), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			52.640.843.832	55.110.713.445	71.054.600.034	61.932.269.585	65.444.770.552	56.720.631.006	72.162.514.800	76.420.520.142	65.565.625.264	70.522.649.395	85.662.374.434
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	Extended synaptotagmin-2	1:Experimental evidence at protein level	37.79	10.000	0.9990	30	30	30	93	93	93	1744641312	1744641312	1744641312	12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 18K(229.1629), 18M(15.9949), 21K(229.1629), 2C(57.0214), 6K(229.1629), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), N-term(229.1692)			40.847.316.030	34.430.795.782	51.898.941.487	40.043.709.707	52.752.959.028	34.915.729.097	45.396.534.309	49.732.678.428	45.960.724.934	62.041.132.329	64.691.436.147
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19	1:Experimental evidence at protein level	20.08	10.000	0.9990	2	2	2	3	3	3	12275133	12275133	12275133	5K(229.1629), N-term(229.1692)			1.248.043.271	1.339.394.863	1.868.149.961	1.566.447.969	1.255.534.834	1.233.201.777	1.351.558.262	1.512.736.445	1.606.077.324	1.731.489.893	2.467.772.393
