Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	3:Protein inferred from homology	45.86	10.000	0.9990	8	0	6	22	0	16	283812228	0	283812228	2K(229.1629), 3C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			10.905.395.928	14.456.370.994	11.818.814.922	16.716.876.826	16.534.124.111	15.122.352.703	19.426.007.361	13.008.418.308	15.098.579.907	14.609.727.166	21.575.953.289
sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H_HUMAN	PPIAL4H	164	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A-like 4H	3:Protein inferred from homology	33.54	10.000	0.9989	4	1	1	68	11	11	11108795936	83557236	11108795936	24C(57.0214), 27K(229.1629), N-term(229.1692)			49.033.341.541	68.854.669.291	42.991.290.071	82.375.256.927	54.826.335.044	59.708.674.982	83.052.898.584	50.206.020.728	84.183.004.187	38.674.385.320	94.807.168.552
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5:Protein uncertain	58.21	10.000	0.9990	13	0	13	38	0	38	808524064	0	808524064	10K(229.1629), 12C(57.0214), 13C(57.0214), 14K(229.1629), 15K(229.1629), 15M(15.9949), 21K(229.1629), 22K(229.1629), 25K(229.1629), 26K(229.1629), 5C(57.0214), 6C(57.0214), 7K(229.1629), 9C(57.0214), N-term(229.1692)		sp|P0DPI2|GAL3A_HUMAN	16.533.916.738	23.605.496.548	16.690.228.306	27.241.538.892	23.402.488.511	26.140.156.587	25.677.159.556	23.592.450.725	26.513.014.990	25.295.859.883	37.036.370.625
sp|A0A1B0GUS4|UB2L5_HUMAN	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	154	Homo sapiens	Ubiquitin-conjugating enzyme E2 L5	2:Experimental evidence at transcript level	45.45	10.000	0.9990	5	2	2	14	4	4	1957754336	7495883	1957754336	12K(229.1629), 25K(229.1629), N-term(229.1692)			13.276.270.482	13.056.700.221	9.654.521.375	14.311.354.446	13.688.092.041	11.719.667.151	20.144.832.393	9.584.100.913	15.094.770.530	6.996.618.196	21.539.271.086
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	275	Homo sapiens	Heterogeneous nuclear ribonucleoprotein A1-like 3	4:Protein predicted	76.00	10.000	0.9990	24	1	1	226	30	30	7826815360	245837992	7826815360	44M(15.9949), 45K(229.1629), N-term(229.1692)			86.700.137.354	95.351.052.962	81.258.019.673	110.114.091.953	115.599.876.017	100.862.288.863	137.008.183.370	99.881.834.034	114.387.683.605	81.555.536.334	156.309.321.080
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	Homo sapiens	Malignant T-cell-amplified sequence 2	3:Protein inferred from homology	37.02	10.000	0.9990	5	0	0	17	0	0	347442528	0	347442528				6.254.127.483	7.981.121.755	5.508.384.360	9.305.811.948	7.021.603.738	8.700.444.761	8.877.067.471	7.000.962.671	9.095.189.766	6.677.790.476	11.067.879.707
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	RNA-binding protein 47	1:Experimental evidence at protein level	3.37	10.000	0.9990	1	1	1	1	1	1	3674438	3674438	3674438	N-term(229.1692)			18.304.661	28.012.332	15.548.480	29.131.443	28.486.736	25.615.994	37.670.703	18.061.625	22.418.354	30.968.489	50.270.605
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	52.95	10.000	0.9990	41	41	41	86	86	86	397144440	397144440	397144440	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14M(15.9949), 15K(229.1629), 17C(57.0214), 17K(229.1629), 18K(229.1629), 19M(15.9949), 1C(57.0214), 1K(229.1629), 20K(229.1629), 22K(229.1629), 24K(229.1629), 27K(229.1629), 28K(229.1629), 29K(229.1629), 2M(15.9949), 3C(57.0214), 4K(229.1629), 5C(57.0214), 5K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			43.392.031.405	51.138.513.799	41.177.555.356	62.072.749.255	53.184.046.556	57.331.935.343	65.497.554.290	46.912.862.864	60.063.875.524	41.780.778.094	85.134.995.938
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	Extended synaptotagmin-2	1:Experimental evidence at protein level	45.17	10.000	0.9990	33	33	33	91	91	91	722584304	722584304	722584304	11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 18K(229.1629), 18M(15.9949), 21K(229.1629), 26K(229.1629), 2C(57.0214), 32K(229.1629), 6K(229.1629), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), N-term(229.1692)			37.495.529.498	47.781.424.932	36.351.570.693	50.265.399.266	48.143.737.195	52.081.432.223	49.339.743.057	40.930.342.948	51.873.273.121	36.549.410.309	69.496.946.101
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19	1:Experimental evidence at protein level	31.56	10.000	0.9990	4	4	4	4	4	4	147913803	147913803	147913803	10C(57.0214), 16K(229.1629), 17K(229.1629), 5K(229.1629), N-term(229.1692)			430.861.768	773.690.811	648.030.894	583.784.180	650.177.388	1.175.171.885	904.787.871	666.480.303	971.327.734	730.236.533	1.289.697.891
